Compound	Formula	HMDB ID	Synonyms	
2-hydroxyglutarate	C5H8O5	HMDB0059655		2-hydroxyglutarate:C5H8O5
3-hydroxybutyrate	C4H8O3	HMDB0000011	3HB;BHB;beta-hydryoxybutyric acid;beta-hydroxybutyrate;3-hydroxybutyric acid;3-HB;B-HB	3-hydroxybutyrate:C4H8O3
a-ketoglutarate	C5H6O5	HMDB0000208	2-ketoglutarate;2-ketoglutaric acid;alpha-ketoglutaric acid;a-ketoglutaric acid;oxoglutarate;2-oxoglutarate;2-oxoglutaric acid	a-ketoglutarate:C5H6O5
alanine	C3H7NO2	HMDB0000161	ala;L-alanine	alanine:C3H7NO2
arginine	C6H14N4O2	HMDB0000517	arg	arginine:C6H14N4O2
asparagine	C4H8N2O3	HMDB0000168	asn	asparagine:C4H8N2O3
aspartate	C4H7NO4	HMDB0000191	aspartic acid;asp	aspartate:C4H7NO4
C16:0	C16H32O2	HMDB0000220	palmitate;PA;C16;C16 fatty acid;hexadecanoate;hexadecoic acid; palmitic acid	C16:0:C16H32O2
C18:1	C18H34O2	HMDB0000207	cis-oleate;18:1 FA;cis-9-octadecenoic acid; oleic acid	C18:1:C18H34O2
C18:2	C18H32O2	HMDB0000673	linoleate;LA;9,12-Octadecadienoic acid; linoleic acid	C18:2:C18H32O2
carnosine	C9H14N4O3	HMDB0000033	Carnosine	carnosine:C9H14N4O3
citrate	C6H8O7	HMDB0000094	citric acid	citrate:C6H8O7
citrulline	C6H13N3O3	HMDB0000904		citrulline:C6H13N3O3
creatine	C4H9N3O2	HMDB0000064		creatine:C4H9N3O2
creatinine	C4H7N3O	HMDB0000562	Creatinine	creatinine:C4H7N3O
dihydroxy-acetone-phosphate	C3H7O6P	HMDB0001473	dihydroxyacetone phosphate;DHAP	dihydroxy-acetone-phosphate:C3H7O6P
fructose-1-6-bisphosphate	C6H14O12P2	HMDB0001058	Fructose 1,6-bisphosphate;Fructose-1,6-diphosphate;Fructose 1,6-diphosphate;Diphosphofructose	fructose-1-6-bisphosphate:C6H14O12P2
fumarate	C4H4O4	HMDB0000134	fumaric acid	fumarate:C4H4O4
glucose	C6H12O6	HMDB0000122	dextrose;Glucose;D-Glucose	glucose:C6H12O6
glucose-6-phosphate	C6H13O9P	HMDB0001401	GLC6p;G6P	glucose-6-phosphate:C6H13O9P
glutamate	C5H9NO4	HMDB0000148	glu;2-aminoglutarate;2-aminoglutaric acid	glutamate:C5H9NO4
glutamine	C5H10N2O3	HMDB0000641	gln	glutamine:C5H10N2O3
glycerol	C3H8O3	HMDB0000131		glycerol:C3H8O3
glycerol-3-phosphate	C3H9O6P	HMDB0000126	glycerol 3-phosphate;glycerophosphate;G3P	glycerol-3-phosphate:C3H9O6P
glycine	C2H5NO2	HMDB0000123	2-aminoacetate	glycine:C2H5NO2
histidine	C6H9N3O2	HMDB0000177	his	histidine:C6H9N3O2
homocarnosine	C10H16N4O3	HMDB0000745		homocarnosine:C10H16N4O3
isocitrate	C6H8O7	HMDB0000193		isocitrate:C6H8O7
isoleucine	C6H13NO2	HMDB0000172	ile	isoleucine:C6H13NO2
lactate	C3H6O3	HMDB0000190	lactic acid;2-hydroxypropanoate;2-hydroxypropanoic acid	lactate:C3H6O3
leucine	C6H13NO2	HMDB0000687	leu	leucine:C6H13NO2
lysine	C6H14N2O2	HMDB0000182	lys	lysine:C6H14N2O2
malate	C4H6O5	HMDB0000156	malic acid;hydroxysuccinate;hydroxysuccinic acid	malate:C4H6O5
methionine	C5H11NO2S	HMDB0000696	met	methionine:C5H11NO2S
ornithine	C5H12N2O2	HMDB0000214		ornithine:C5H12N2O2
phenylalanine	C9H11NO2	HMDB0000159	phe	phenylalanine:C9H11NO2
proline	C5H9NO2	HMDB0000162	(2S)-pyrrolidine-2-carboxylic acid	proline:C5H9NO2
pyruvate	C3H4O3	HMDB0000243	pyruvic acid;2-ketopropionic acid;2-oxopropanoic acid;2-oxopropanoate;2-ketopropionate	pyruvate:C3H4O3
serine	C3H7NO3	HMDB0000187	ser	serine:C3H7NO3
C18:0	C18H36O2	HMDB0000827	octadecanoic acid;stearate; stearic acid	C18:0:C18H36O2
succinate	C4H6O4	HMDB0000254	succinic acid	succinate:C4H6O4
taurine	C2H7NO3S	HMDB0000251	2-Aminoethanesulfonic acid	taurine:C2H7NO3S
threonine	C4H9NO3	HMDB0000167	thr	threonine:C4H9NO3
tryptophan	C11H12N2O2	HMDB0000929	trp	tryptophan:C11H12N2O2
tyrosine	C9H11NO3	HMDB0000158	tyr	tyrosine:C9H11NO3
urea	CH4N2O	HMDB0000294		urea:CH4N2O
valine	C5H11NO2	HMDB0000883	val	valine:C5H11NO2
2-keto-isovalerate	C5H8O3	HMDB0000019	2-Ketoisovaleric acid; 
3-hydroxyisobutyrate	C4H8O3	HMDB0000023	3-HIBA; 3-Hydroxyisobutyric acid
sedoheptoluse-7-phosphate	C7H15O10P	HMDB0001068	alpha-D-Sedoheptulose 7-phosphate; Sedoheptulose 7-phosphate; D-Sedoheptulose 7-phosphate
3-phosphoglycerate	C3H7O7P	HMDB0000807	3-Phosphoglycerate; Glycerate 3-phosphate; 3-PG
